Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage
28;  533;  69.041451;  0.974093;  345;  44.689119;  159;  20.595855;  27;  3.497409;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
29;  510;  66.062176;  0.940415;  326;  42.227979;  154;  19.948187;  28;  3.626943;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
30;  520;  67.357513;  0.955959;  334;  43.264249;  156;  20.207254;  28;  3.626943;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
31;  512;  66.321244;  0.914508;  342;  44.300518;  147;  19.041451;  22;  2.849741;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
32;  521;  67.487047;  0.940415;  348;  45.077720;  141;  18.264249;  32;  4.145078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
33;  499;  64.637306;  0.932642;  312;  40.414508;  156;  20.207254;  28;  3.626943;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
34;  511;  66.191710;  0.968912;  307;  39.766839;  174;  22.538860;  27;  3.497409;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
35;  526;  68.134715;  0.968912;  343;  44.430052;  148;  19.170984;  31;  4.015544;  4;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
36;  497;  64.378238;  0.937824;  312;  40.414508;  145;  18.782383;  38;  4.922280;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
37;  492;  63.730570;  0.878238;  332;  43.005181;  136;  17.616580;  22;  2.849741;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
38;  492;  63.730570;  0.911917;  310;  40.155440;  155;  20.077720;  24;  3.108808;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
39;  499;  64.637306;  0.901554;  328;  42.487047;  147;  19.041451;  22;  2.849741;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
40;  493;  63.860104;  0.896373;  317;  41.062176;  155;  20.077720;  19;  2.461140;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
41;  523;  67.746114;  0.953368;  340;  44.041451;  154;  19.948187;  28;  3.626943;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
42;  501;  64.896373;  0.930052;  315;  40.803109;  156;  20.207254;  29;  3.756477;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
43;  505;  65.414508;  0.896373;  348;  45.077720;  128;  16.580311;  28;  3.626943;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
44;  506;  65.544041;  0.911917;  334;  43.264249;  147;  19.041451;  24;  3.108808;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
45;  516;  66.839378;  0.909326;  348;  45.077720;  151;  19.559585;  16;  2.072539;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
46;  510;  66.062176;  0.919689;  339;  43.911917;  145;  18.782383;  23;  2.979275;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
47;  500;  64.766839;  0.875648;  346;  44.818653;  133;  17.227979;  20;  2.590674;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
48;  512;  66.321244;  0.924870;  340;  44.041451;  143;  18.523316;  28;  3.626943;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
49;  503;  65.155440;  0.886010;  347;  44.948187;  133;  17.227979;  21;  2.720207;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
