Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage
1;  617;  79.922280;  1.301813;  313;  40.544041;  233;  30.181347;  59;  7.642487;  11;  1.424870;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  608;  78.756477;  1.286269;  305;  39.507772;  231;  29.922280;  62;  8.031088;  10;  1.295337;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  619;  80.181347;  1.284974;  316;  40.932642;  243;  31.476684;  50;  6.476684;  10;  1.295337;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  616;  79.792746;  1.284974;  317;  41.062176;  232;  30.051813;  57;  7.383420;  10;  1.295337;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  618;  80.051813;  1.306995;  307;  39.766839;  243;  31.476684;  56;  7.253886;  12;  1.554404;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  614;  79.533679;  1.300518;  302;  39.119171;  245;  31.735751;  57;  7.383420;  9;  1.165803;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  616;  79.792746;  1.288860;  309;  40.025907;  247;  31.994819;  49;  6.347150;  10;  1.295337;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  619;  80.181347;  1.269430;  327;  42.357513;  233;  30.181347;  50;  6.476684;  8;  1.036269;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  622;  80.569948;  1.274611;  336;  43.523316;  221;  28.626943;  54;  6.994819;  11;  1.424870;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  611;  79.145078;  1.294041;  307;  39.766839;  233;  30.181347;  59;  7.642487;  11;  1.424870;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  625;  80.958549;  1.303109;  325;  42.098446;  231;  29.922280;  58;  7.512953;  10;  1.295337;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  620;  80.310881;  1.294041;  318;  41.191710;  237;  30.699482;  54;  6.994819;  10;  1.295337;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
13;  619;  80.181347;  1.299223;  318;  41.191710;  229;  29.663212;  61;  7.901554;  11;  1.424870;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
14;  616;  79.792746;  1.278497;  321;  41.580311;  228;  29.533679;  58;  7.512953;  9;  1.165803;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
15;  621;  80.440415;  1.300518;  315;  40.803109;  237;  30.699482;  61;  7.901554;  8;  1.036269;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
