Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage
1;  5;  1.096491;  0.010965;  5;  1.096491;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  379;  83.114035;  1.745614;  122;  26.754386;  138;  30.263158;  85;  18.640351;  28;  6.140351;  5;  1.096491;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  380;  83.333333;  1.655702;  142;  31.140351;  131;  28.728070;  83;  18.201754;  19;  4.166667;  4;  0.877193;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  371;  81.359649;  1.581140;  142;  31.140351;  138;  30.263158;  66;  14.473684;  21;  4.605263;  3;  0.657895;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  370;  81.140351;  1.596491;  138;  30.263158;  132;  28.947368;  78;  17.105263;  19;  4.166667;  2;  0.438596;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  390;  85.526316;  1.730263;  140;  30.701754;  143;  31.359649;  74;  16.228070;  26;  5.701754;  5;  1.096491;  2;  0.438596;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  375;  82.236842;  1.616228;  143;  31.359649;  130;  28.508772;  79;  17.324561;  18;  3.947368;  5;  1.096491;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  372;  81.578947;  1.594298;  138;  30.263158;  136;  29.824561;  78;  17.105263;  17;  3.728070;  3;  0.657895;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  377;  82.675439;  1.592105;  143;  31.359649;  146;  32.017544;  68;  14.912281;  15;  3.289474;  3;  0.657895;  2;  0.438596;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  372;  81.578947;  1.695175;  132;  28.947368;  129;  28.289474;  71;  15.570175;  31;  6.798246;  8;  1.754386;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  389;  85.307018;  1.614035;  149;  32.675439;  152;  33.333333;  72;  15.789474;  13;  2.850877;  3;  0.657895;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  371;  81.359649;  1.651316;  139;  30.482456;  129;  28.289474;  67;  14.692982;  26;  5.701754;  9;  1.973684;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
13;  369;  80.921053;  1.662281;  130;  28.508772;  127;  27.850877;  82;  17.982456;  24;  5.263158;  4;  0.877193;  2;  0.438596;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
14;  362;  79.385965;  1.607456;  129;  28.289474;  130;  28.508772;  74;  16.228070;  23;  5.043860;  6;  1.315789;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
15;  355;  77.850877;  1.581140;  126;  27.631579;  125;  27.412281;  80;  17.543860;  15;  3.289474;  9;  1.973684;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
16;  385;  84.429825;  1.671053;  153;  33.552632;  124;  27.192982;  76;  16.666667;  28;  6.140351;  3;  0.657895;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
17;  364;  79.824561;  1.596491;  138;  30.263158;  125;  27.412281;  66;  14.473684;  33;  7.236842;  2;  0.438596;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
18;  368;  80.701754;  1.611842;  142;  31.140351;  127;  27.850877;  66;  14.473684;  25;  5.482456;  7;  1.535088;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
19;  355;  77.850877;  1.535088;  147;  32.236842;  115;  25.219298;  56;  12.280702;  31;  6.798246;  5;  1.096491;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
20;  375;  82.236842;  1.701754;  131;  28.728070;  138;  30.263158;  68;  14.912281;  28;  6.140351;  7;  1.535088;  3;  0.657895;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
21;  372;  81.578947;  1.596491;  146;  32.017544;  125;  27.412281;  78;  17.105263;  17;  3.728070;  6;  1.315789;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
22;  387;  84.868421;  1.723684;  143;  31.359649;  132;  28.947368;  77;  16.885965;  28;  6.140351;  6;  1.315789;  1;  0.219298;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
