Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage
1;  1502;  97.659298;  2.081925;  346;  22.496749;  699;  45.448635;  376;  24.447334;  75;  4.876463;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  1503;  97.724317;  2.050715;  361;  23.472042;  705;  45.838752;  370;  24.057217;  62;  4.031209;  5;  0.325098;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  1505;  97.854356;  2.087776;  349;  22.691808;  703;  45.708713;  368;  23.927178;  73;  4.746424;  12;  0.780234;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  1507;  97.984395;  2.068921;  346;  22.496749;  728;  47.334200;  358;  23.276983;  70;  4.551365;  4;  0.260078;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  1501;  97.594278;  2.095579;  333;  21.651495;  709;  46.098830;  376;  24.447334;  72;  4.681404;  10;  0.650195;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  1500;  97.529259;  2.091027;  340;  22.106632;  695;  45.188557;  383;  24.902471;  73;  4.746424;  9;  0.585176;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  1498;  97.399220;  2.088427;  336;  21.846554;  701;  45.578674;  383;  24.902471;  67;  4.356307;  9;  0.585176;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  1508;  98.049415;  2.084525;  349;  22.691808;  716;  46.553966;  362;  23.537061;  66;  4.291287;  15;  0.975293;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  1497;  97.334200;  2.074772;  354;  23.016905;  686;  44.603381;  374;  24.317295;  72;  4.681404;  11;  0.715215;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  1507;  97.984395;  2.085826;  361;  23.472042;  693;  45.058518;  361;  23.472042;  84;  5.461638;  6;  0.390117;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  1508;  98.049415;  2.092328;  363;  23.602081;  689;  44.798440;  359;  23.342003;  87;  5.656697;  8;  0.520156;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  1505;  97.854356;  2.089727;  351;  22.821847;  704;  45.773732;  356;  23.146944;  85;  5.526658;  7;  0.455137;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
13;  1500;  97.529259;  2.070221;  353;  22.951886;  695;  45.188557;  374;  24.317295;  71;  4.616385;  7;  0.455137;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
14;  1499;  97.464239;  2.063719;  344;  22.366710;  727;  47.269181;  345;  22.431730;  76;  4.941482;  5;  0.325098;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
15;  1508;  98.049415;  2.062419;  375;  24.382315;  700;  45.513654;  345;  22.431730;  79;  5.136541;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
16;  1504;  97.789337;  2.064369;  337;  21.911573;  746;  48.504551;  349;  22.691808;  61;  3.966190;  11;  0.715215;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
17;  1504;  97.789337;  2.058518;  367;  23.862159;  700;  45.513654;  357;  23.211964;  73;  4.746424;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
18;  1498;  97.399220;  2.085176;  339;  22.041612;  698;  45.383615;  379;  24.642393;  77;  5.006502;  3;  0.195059;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
19;  1503;  97.724317;  2.057217;  362;  23.537061;  710;  46.163849;  351;  22.821847;  73;  4.746424;  5;  0.325098;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
20;  1496;  97.269181;  2.049415;  355;  23.081925;  704;  45.773732;  365;  23.732120;  66;  4.291287;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
21;  1505;  97.854356;  2.070871;  340;  22.106632;  739;  48.049415;  345;  22.431730;  74;  4.811443;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
22;  1494;  97.139142;  2.058518;  354;  23.016905;  690;  44.863459;  373;  24.252276;  73;  4.746424;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
23;  1488;  96.749025;  2.058518;  361;  23.472042;  671;  43.628088;  374;  24.317295;  71;  4.616385;  9;  0.585176;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
24;  1499;  97.464239;  2.072172;  352;  22.886866;  711;  46.228869;  345;  22.431730;  79;  5.136541;  10;  0.650195;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
25;  1507;  97.984395;  2.088427;  368;  23.927178;  685;  44.538362;  356;  23.146944;  86;  5.591678;  10;  0.650195;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
26;  1501;  97.594278;  2.073472;  354;  23.016905;  696;  45.253576;  368;  23.927178;  77;  5.006502;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
27;  1501;  97.594278;  2.054616;  357;  23.211964;  710;  46.163849;  360;  23.407022;  68;  4.421326;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
28;  1496;  97.269181;  2.061769;  354;  23.016905;  705;  45.838752;  350;  22.756827;  79;  5.136541;  7;  0.455137;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
29;  1498;  97.399220;  2.073472;  345;  22.431730;  712;  46.293888;  357;  23.211964;  71;  4.616385;  13;  0.845254;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
30;  1505;  97.854356;  2.078023;  361;  23.472042;  692;  44.993498;  365;  23.732120;  80;  5.201560;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
31;  1501;  97.594278;  2.074772;  350;  22.756827;  713;  46.358908;  348;  22.626788;  80;  5.201560;  9;  0.585176;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
32;  1497;  97.334200;  2.059168;  360;  23.407022;  705;  45.838752;  342;  22.236671;  80;  5.201560;  9;  0.585176;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
33;  1498;  97.399220;  2.056567;  345;  22.431730;  725;  47.139142;  349;  22.691808;  74;  4.811443;  5;  0.325098;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
34;  1499;  97.464239;  2.050715;  374;  24.317295;  689;  44.798440;  351;  22.821847;  77;  5.006502;  7;  0.455137;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
35;  1502;  97.659298;  2.074772;  369;  23.992198;  677;  44.018205;  368;  23.927178;  77;  5.006502;  10;  0.650195;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
36;  1493;  97.074122;  2.063719;  346;  22.496749;  706;  45.903771;  358;  23.276983;  74;  4.811443;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
37;  1507;  97.984395;  2.071521;  359;  23.342003;  715;  46.488947;  345;  22.431730;  79;  5.136541;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
38;  1502;  97.659298;  2.090377;  338;  21.976593;  708;  46.033810;  371;  24.122237;  78;  5.071521;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
39;  1495;  97.204161;  2.051365;  349;  22.691808;  706;  45.903771;  369;  23.992198;  68;  4.421326;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
40;  1502;  97.659298;  2.064369;  350;  22.756827;  724;  47.074122;  341;  22.171651;  81;  5.266580;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
41;  1495;  97.204161;  2.061769;  343;  22.301691;  725;  47.139142;  334;  21.716515;  89;  5.786736;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
42;  1488;  96.749025;  2.058518;  342;  22.236671;  708;  46.033810;  348;  22.626788;  86;  5.591678;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
43;  1498;  97.399220;  2.067620;  338;  21.976593;  721;  46.879064;  363;  23.602081;  69;  4.486346;  7;  0.455137;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
44;  1504;  97.789337;  2.056567;  367;  23.862159;  697;  45.318596;  366;  23.797139;  66;  4.291287;  8;  0.520156;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
45;  1493;  97.074122;  2.061118;  367;  23.862159;  659;  42.847854;  389;  25.292588;  73;  4.746424;  4;  0.260078;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
46;  1493;  97.074122;  2.059818;  347;  22.561769;  706;  45.903771;  358;  23.276983;  76;  4.941482;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
47;  1496;  97.269181;  2.064369;  339;  22.041612;  728;  47.334200;  343;  22.301691;  80;  5.201560;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
48;  1497;  97.334200;  2.052666;  342;  22.236671;  738;  47.984395;  337;  21.911573;  73;  4.746424;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
49;  1497;  97.334200;  2.074772;  341;  22.171651;  710;  46.163849;  361;  23.472042;  78;  5.071521;  7;  0.455137;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
50;  1492;  97.009103;  2.051365;  355;  23.081925;  690;  44.863459;  374;  24.317295;  67;  4.356307;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
51;  1492;  97.009103;  2.059168;  330;  21.456437;  721;  46.879064;  376;  24.447334;  59;  3.836151;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
52;  1499;  97.464239;  2.057217;  348;  22.626788;  718;  46.684005;  357;  23.211964;  71;  4.616385;  5;  0.325098;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
