Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
15;  1520;  98.829649;  7.028609;  40;  2.600780;  52;  3.381014;  87;  5.656697;  132;  8.582575;  166;  10.793238;  192;  12.483745;  176;  11.443433;  185;  12.028609;  149;  9.687906;  129;  8.387516;  94;  6.111834;  51;  3.315995;  38;  2.470741;  23;  1.495449;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
16;  1519;  98.764629;  7.019506;  32;  2.080624;  57;  3.706112;  90;  5.851756;  119;  7.737321;  172;  11.183355;  205;  13.328999;  175;  11.378414;  181;  11.768531;  153;  9.947984;  128;  8.322497;  93;  6.046814;  52;  3.381014;  36;  2.340702;  21;  1.365410;  5;  0.325098;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
17;  1518;  98.699610;  7.053316;  39;  2.535761;  47;  3.055917;  80;  5.201560;  144;  9.362809;  157;  10.208062;  199;  12.938882;  165;  10.728218;  193;  12.548765;  151;  9.817945;  120;  7.802341;  105;  6.827048;  54;  3.511053;  43;  2.795839;  17;  1.105332;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
18;  1518;  98.699610;  7.029909;  35;  2.275683;  53;  3.446034;  86;  5.591678;  137;  8.907672;  156;  10.143043;  201;  13.068921;  172;  11.183355;  181;  11.768531;  160;  10.403121;  120;  7.802341;  103;  6.697009;  61;  3.966190;  27;  1.755527;  20;  1.300390;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
19;  1520;  98.829649;  7.027308;  37;  2.405722;  53;  3.446034;  84;  5.461638;  125;  8.127438;  148;  9.622887;  230;  14.954486;  175;  11.378414;  177;  11.508453;  162;  10.533160;  119;  7.737321;  99;  6.436931;  56;  3.641092;  35;  2.275683;  14;  0.910273;  4;  0.260078;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
20;  1519;  98.764629;  7.053316;  36;  2.340702;  48;  3.120936;  94;  6.111834;  121;  7.867360;  174;  11.313394;  177;  11.508453;  176;  11.443433;  199;  12.938882;  167;  10.858257;  119;  7.737321;  94;  6.111834;  47;  3.055917;  37;  2.405722;  28;  1.820546;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
21;  1520;  98.829649;  7.074122;  32;  2.080624;  55;  3.576073;  90;  5.851756;  129;  8.387516;  168;  10.923277;  185;  12.028609;  183;  11.898570;  175;  11.378414;  156;  10.143043;  118;  7.672302;  117;  7.607282;  45;  2.925878;  38;  2.470741;  20;  1.300390;  8;  0.520156;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
22;  1523;  99.024707;  7.052016;  37;  2.405722;  56;  3.641092;  95;  6.176853;  121;  7.867360;  144;  9.362809;  218;  14.174252;  181;  11.768531;  178;  11.573472;  155;  10.078023;  112;  7.282185;  106;  6.892068;  65;  4.226268;  29;  1.885566;  20;  1.300390;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
23;  1521;  98.894668;  7.036411;  33;  2.145644;  55;  3.576073;  88;  5.721717;  130;  8.452536;  178;  11.573472;  200;  13.003901;  170;  11.053316;  165;  10.728218;  150;  9.752926;  134;  8.712614;  99;  6.436931;  61;  3.966190;  33;  2.145644;  21;  1.365410;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
24;  1521;  98.894668;  7.089727;  37;  2.405722;  48;  3.120936;  86;  5.591678;  130;  8.452536;  168;  10.923277;  176;  11.443433;  188;  12.223667;  174;  11.313394;  171;  11.118336;  128;  8.322497;  97;  6.306892;  60;  3.901170;  38;  2.470741;  15;  0.975293;  3;  0.195059;  1;  0.065020;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000
25;  1521;  98.894668;  7.079324;  28;  1.820546;  68;  4.421326;  79;  5.136541;  138;  8.972692;  170;  11.053316;  173;  11.248375;  171;  11.118336;  184;  11.963589;  170;  11.053316;  124;  8.062419;  91;  5.916775;  63;  4.096229;  31;  2.015605;  21;  1.365410;  8;  0.520156;  1;  0.065020;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000
26;  1521;  98.894668;  7.015605;  33;  2.145644;  50;  3.250975;  94;  6.111834;  136;  8.842653;  160;  10.403121;  201;  13.068921;  176;  11.443433;  176;  11.443433;  158;  10.273082;  124;  8.062419;  107;  6.957087;  54;  3.511053;  35;  2.275683;  13;  0.845254;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
27;  1518;  98.699610;  7.066320;  35;  2.275683;  54;  3.511053;  90;  5.851756;  130;  8.452536;  153;  9.947984;  194;  12.613784;  165;  10.728218;  185;  12.028609;  177;  11.508453;  135;  8.777633;  75;  4.876463;  58;  3.771131;  39;  2.535761;  22;  1.430429;  5;  0.325098;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
28;  1522;  98.959688;  7.075423;  39;  2.535761;  56;  3.641092;  86;  5.591678;  132;  8.582575;  157;  10.208062;  179;  11.638492;  199;  12.938882;  177;  11.508453;  143;  9.297789;  139;  9.037711;  85;  5.526658;  69;  4.486346;  33;  2.145644;  18;  1.170351;  7;  0.455137;  2;  0.130039;  0;  0.000000;  0;  0.000000;  1;  0.065020;  0;  0.000000
29;  1521;  98.894668;  7.040312;  37;  2.405722;  54;  3.511053;  96;  6.241873;  131;  8.517555;  170;  11.053316;  155;  10.078023;  193;  12.548765;  193;  12.548765;  158;  10.273082;  130;  8.452536;  79;  5.136541;  62;  4.031209;  40;  2.600780;  12;  0.780234;  7;  0.455137;  1;  0.065020;  2;  0.130039;  1;  0.065020;  0;  0.000000;  0;  0.000000
30;  1519;  98.764629;  7.019506;  34;  2.210663;  58;  3.771131;  87;  5.656697;  127;  8.257477;  169;  10.988296;  190;  12.353706;  182;  11.833550;  177;  11.508453;  165;  10.728218;  129;  8.387516;  82;  5.331599;  59;  3.836151;  36;  2.340702;  15;  0.975293;  7;  0.455137;  1;  0.065020;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000
31;  1519;  98.764629;  7.053316;  34;  2.210663;  52;  3.381014;  92;  5.981795;  129;  8.387516;  160;  10.403121;  182;  11.833550;  204;  13.263979;  158;  10.273082;  167;  10.858257;  136;  8.842653;  74;  4.811443;  79;  5.136541;  32;  2.080624;  11;  0.715215;  7;  0.455137;  1;  0.065020;  0;  0.000000;  1;  0.065020;  0;  0.000000;  0;  0.000000
32;  1518;  98.699610;  6.994798;  34;  2.210663;  57;  3.706112;  82;  5.331599;  136;  8.842653;  160;  10.403121;  202;  13.133940;  194;  12.613784;  169;  10.988296;  154;  10.013004;  124;  8.062419;  82;  5.331599;  64;  4.161248;  44;  2.860858;  12;  0.780234;  2;  0.130039;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
