Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage
1;  25;  6.476684;  0.069948;  23;  5.958549;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  380;  98.445596;  2.585492;  43;  11.139896;  115;  29.792746;  165;  42.746114;  55;  14.248705;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  379;  98.186528;  2.590674;  40;  10.362694;  114;  29.533679;  170;  44.041451;  53;  13.730570;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  381;  98.704663;  2.572539;  44;  11.398964;  122;  31.606218;  156;  40.414508;  58;  15.025907;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  381;  98.704663;  2.562176;  50;  12.953368;  108;  27.979275;  172;  44.559585;  48;  12.435233;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  382;  98.963731;  2.616580;  43;  11.139896;  111;  28.756477;  169;  43.782383;  57;  14.766839;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  380;  98.445596;  2.569948;  45;  11.658031;  119;  30.829016;  157;  40.673575;  57;  14.766839;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  380;  98.445596;  2.577720;  40;  10.362694;  118;  30.569948;  171;  44.300518;  49;  12.694301;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  379;  98.186528;  2.575130;  48;  12.435233;  107;  27.720207;  166;  43.005181;  56;  14.507772;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  378;  97.927461;  2.569948;  43;  11.139896;  112;  29.015544;  169;  43.782383;  52;  13.471503;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  380;  98.445596;  2.569948;  45;  11.658031;  116;  30.051813;  164;  42.487047;  52;  13.471503;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  380;  98.445596;  2.601036;  37;  9.585492;  128;  33.160622;  152;  39.378238;  60;  15.544041;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
