Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
1;  17;  4.404145;  0.044041;  17;  4.404145;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  369;  95.595855;  4.251295;  23;  5.958549;  40;  10.362694;  68;  17.616580;  66;  17.098446;  64;  16.580311;  46;  11.917098;  36;  9.326425;  16;  4.145078;  7;  1.813472;  2;  0.518135;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  375;  97.150259;  4.199482;  27;  6.994819;  39;  10.103627;  74;  19.170984;  79;  20.466321;  55;  14.248705;  48;  12.435233;  26;  6.735751;  17;  4.404145;  5;  1.295337;  3;  0.777202;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  375;  97.150259;  4.209845;  22;  5.699482;  49;  12.694301;  83;  21.502591;  56;  14.507772;  64;  16.580311;  46;  11.917098;  29;  7.512953;  12;  3.108808;  6;  1.554404;  5;  1.295337;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  374;  96.891192;  4.233161;  21;  5.440415;  44;  11.398964;  80;  20.725389;  60;  15.544041;  71;  18.393782;  42;  10.880829;  30;  7.772021;  14;  3.626943;  6;  1.554404;  4;  1.036269;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  374;  96.891192;  4.168394;  24;  6.217617;  47;  12.176166;  65;  16.839378;  76;  19.689119;  63;  16.321244;  49;  12.694301;  30;  7.772021;  10;  2.590674;  8;  2.072539;  1;  0.259067;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  373;  96.632124;  4.183938;  23;  5.958549;  53;  13.730570;  63;  16.321244;  70;  18.134715;  65;  16.839378;  44;  11.398964;  30;  7.772021;  14;  3.626943;  6;  1.554404;  3;  0.777202;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  375;  97.150259;  4.181347;  30;  7.772021;  40;  10.362694;  65;  16.839378;  76;  19.689119;  65;  16.839378;  44;  11.398964;  35;  9.067358;  13;  3.367876;  4;  1.036269;  2;  0.518135;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  374;  96.891192;  4.215026;  28;  7.253886;  42;  10.880829;  76;  19.689119;  64;  16.580311;  57;  14.766839;  52;  13.471503;  29;  7.512953;  9;  2.331606;  12;  3.108808;  4;  1.036269;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  376;  97.409326;  4.194301;  30;  7.772021;  47;  12.176166;  61;  15.803109;  72;  18.652850;  68;  17.616580;  49;  12.694301;  25;  6.476684;  11;  2.849741;  6;  1.554404;  4;  1.036269;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
